1,4,2,
2,17,9,
3,26,13,
4,37,19,
5,2,1,
6,34,17,
7,36,18,
8,39,20,
9,14,7,
10,12,6,
11,12,6,
12,23,12,
13,6,3,
14,29,15,
15,39,20,
16,36,18,
17,33,17,
18,29,15,
19,13,7,
20,25,13,
21,8,4,
22,12,6,
23,28,14,
24,19,10,
25,38,19,
26,29,15,
27,31,16,
28,39,20,
29,25,13,
30,37,19,
31,27,14,
32,14,7,
33,19,10,
34,28,14,
35,3,2,
36,2,1,
37,17,9,
38,4,2,
39,38,19,
40,25,13,
41,29,15,
42,25,13,
43,8,4,
44,36,18,
45,9,5,
46,14,7,
47,13,7,
48,32,16,
49,38,19,
50,3,2,
51,1,1,
52,25,13,
53,39,20,
54,1,1,
55,12,6,
56,28,14,
57,19,10,
58,7,4,
59,24,12,
60,36,18,
61,16,8,
62,4,2,
63,29,15,
64,17,9,
65,25,13,
66,33,17,
67,7,4,
68,1,1,
69,28,14,
70,32,16,
71,10,5,
72,21,11,
73,8,4,
74,11,6,
75,7,4,
76,27,14,
77,22,11,
78,31,16,
79,34,17,
80,20,10,
81,31,16,
82,29,15,
83,36,18,
84,16,8,
85,27,14,
86,9,5,
87,35,18,
88,20,10,
89,3,2,
90,17,9,
91,31,16,
92,23,12,
93,17,9,
94,3,2,
95,35,18,
96,23,12,
97,31,16,
98,33,17,
99,20,10,
100,1,1,
101,28,14,
102,27,14,
103,28,14,
104,5,3,
105,31,16,
106,32,16,
107,38,19,
108,36,18,
109,30,15,
110,34,17,
111,22,11,
112,5,3,
113,7,4,
114,8,4,
115,11,6,
116,4,2,
117,3,2,
118,40,20,
119,11,6,
120,16,8,
121,19,10,
122,30,15,
123,35,18,
124,10,5,
125,39,20,
126,18,9,
127,34,17,
128,9,5,
129,16,8,
130,4,2,
131,26,13,
132,7,4,
133,30,15,
134,28,14,
135,24,12,
136,10,5,
137,31,16,
138,1,1,
139,13,7,
140,32,16,
141,6,3,
142,5,3,
143,16,8,
144,36,18,
145,16,8,
146,3,2,
147,29,15,
148,12,6,
149,5,3,
150,27,14,
151,10,5,
152,29,15,
153,4,2,
154,17,9,
155,12,6,
156,39,20,
157,17,9,
158,29,15,
159,10,5,
160,15,8,
161,17,9,
162,7,4,
163,20,10,
164,24,12,
165,2,1,
166,25,13,
167,1,1,
168,17,9,
169,39,20,
170,2,1,
171,26,13,
172,8,4,
173,25,13,
174,38,19,
175,39,20,
176,12,6,
177,37,19,
178,26,13,
179,13,7,
180,34,17,
181,5,3,
182,31,16,
183,40,20,
184,16,8,
185,34,17,
186,9,5,
187,10,5,
188,7,4,
189,19,10,
190,36,18,
191,36,18,
192,16,8,
193,10,5,
194,18,9,
195,14,7,
196,1,1,
197,10,5,
198,5,3,
199,10,5,
200,15,8,
201,37,19,
202,16,8,
203,17,9,
204,40,20,
205,5,3,
206,15,8,
207,7,4,
208,7,4,
209,29,15,
210,22,11,
211,22,11,
212,9,5,
213,13,7,
214,20,10,
215,24,12,
216,2,1,
217,12,6,
218,31,16,
219,21,11,
220,29,15,
221,4,2,
222,9,5,
223,2,1,
224,10,5,
225,6,3,
226,20,10,
227,5,3,
228,13,7,
229,12,6,
230,23,12,
231,3,2,
232,16,8,
233,29,15,
234,21,11,
235,34,17,
236,33,17,
237,19,10,
238,21,11,
239,2,1,
240,40,20,
241,27,14,
242,2,1,
243,19,10,
244,4,2,
245,39,20,
246,37,19,
247,12,6,
248,19,10,
249,5,3,
250,31,16,
251,3,2,
252,25,13,
253,37,19,
254,7,4,
255,36,18,
256,39,20,
